#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
GNA12	GNA13	9606.ENSP00000275364	9606.ENSP00000400717	0	0	0	0.964	0	0.213	0.900	0.849	0.920
GNA12	S1PR5	9606.ENSP00000275364	9606.ENSP00000328472	0	0	0	0	0	0.213	0.900	0.447	0.952
GNA12	RHOA	9606.ENSP00000275364	9606.ENSP00000400175	0	0	0	0	0.052	0.247	0.900	0.430	0.953
GNA13	GNAO1	9606.ENSP00000400717	9606.ENSP00000262494	0	0	0	0.910	0.062	0.368	0.540	0.521	0.716
GNA13	GNAI2	9606.ENSP00000400717	9606.ENSP00000312999	0	0	0	0.901	0.062	0.363	0.540	0.592	0.718
GNA13	S1PR5	9606.ENSP00000400717	9606.ENSP00000328472	0	0	0	0	0	0	0.800	0.211	0.835
GNA13	RHOA	9606.ENSP00000400717	9606.ENSP00000400175	0	0	0	0	0	0.247	0.900	0.500	0.959
GNAI1	GNAO1	9606.ENSP00000343027	9606.ENSP00000262494	0	0	0	0.974	0.085	0.680	0.900	0.670	0.968
GNAI1	GNAI2	9606.ENSP00000343027	9606.ENSP00000312999	0	0	0	0.983	0	0.860	0.900	0.771	0.985
GNAI1	S1PR5	9606.ENSP00000343027	9606.ENSP00000328472	0	0	0	0	0	0.213	0.900	0	0.917
GNAI1	GNAZ	9606.ENSP00000343027	9606.ENSP00000478892	0	0	0	0.970	0	0	0.900	0.584	0.901
GNAI1	RHOA	9606.ENSP00000343027	9606.ENSP00000400175	0	0	0	0	0.067	0.247	0.900	0.236	0.939
GNAI1	GNAI3	9606.ENSP00000343027	9606.ENSP00000358867	0	0	0	0.986	0	0.870	0.900	0.654	0.986
GNAI2	GNAO1	9606.ENSP00000312999	9606.ENSP00000262494	0	0	0	0.973	0	0.688	0.900	0.753	0.968
GNAI2	S1PR5	9606.ENSP00000312999	9606.ENSP00000328472	0	0	0	0	0	0	0.900	0	0.900
GNAI2	GNAZ	9606.ENSP00000312999	9606.ENSP00000478892	0	0	0	0.970	0	0	0.900	0.562	0.901
GNAI2	RHOA	9606.ENSP00000312999	9606.ENSP00000400175	0	0	0	0	0.140	0.247	0.900	0.264	0.946
GNAI2	GNAI3	9606.ENSP00000312999	9606.ENSP00000358867	0	0	0	0.983	0.057	0.885	0.900	0.832	0.988
GNAI3	GNAO1	9606.ENSP00000358867	9606.ENSP00000262494	0	0	0	0.973	0.062	0.468	0.900	0.538	0.946
GNAI3	S1PR5	9606.ENSP00000358867	9606.ENSP00000328472	0	0	0	0	0	0	0.900	0	0.900
GNAI3	GNAZ	9606.ENSP00000358867	9606.ENSP00000478892	0	0	0	0.970	0	0	0.900	0.475	0.901
GNAI3	RHOA	9606.ENSP00000358867	9606.ENSP00000400175	0	0	0	0	0.116	0.247	0.900	0.147	0.935
GNAO1	GNAZ	9606.ENSP00000262494	9606.ENSP00000478892	0	0	0	0.959	0.152	0	0.900	0.676	0.914
GNAO1	RHOA	9606.ENSP00000262494	9606.ENSP00000400175	0	0	0	0	0.063	0.247	0.900	0.399	0.951
GNAO1	S1PR5	9606.ENSP00000262494	9606.ENSP00000328472	0	0	0	0	0.070	0.213	0.900	0.438	0.953
GNAZ	S1PR5	9606.ENSP00000478892	9606.ENSP00000328472	0	0	0	0	0	0	0.900	0	0.900
GNAZ	RHOA	9606.ENSP00000478892	9606.ENSP00000400175	0	0	0	0	0	0.247	0.900	0.083	0.924
RHOA	S1PR5	9606.ENSP00000400175	9606.ENSP00000328472	0	0	0	0	0	0	0.900	0.316	0.928
S1PR5	SPHK2	9606.ENSP00000328472	9606.ENSP00000245222	0	0	0	0	0	0	0	0.776	0.776
S1PR5	SPHK1	9606.ENSP00000328472	9606.ENSP00000313681	0	0	0	0	0	0	0	0.793	0.793
SPHK1	SPHK2	9606.ENSP00000313681	9606.ENSP00000245222	0	0	0	0.882	0	0	0.800	0.951	0.822
