#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
AMICA1	S1PR4	9606.ENSP00000348635	9606.ENSP00000246115	0	0	0	0	0.671	0	0	0.202	0.726
CCR7	S1PR4	9606.ENSP00000246657	9606.ENSP00000246115	0	0	0	0	0.551	0	0	0.398	0.718
CCR7	S1PR1	9606.ENSP00000246657	9606.ENSP00000305416	0	0	0	0	0.089	0	0	0.744	0.758
CDC42	MAPK1	9606.ENSP00000383118	9606.ENSP00000215832	0	0	0	0	0.105	0.609	0	0.523	0.818
CDC42	PLCG1	9606.ENSP00000383118	9606.ENSP00000244007	0	0	0	0	0.063	0.144	0.900	0.645	0.967
CDC42	S1PR4	9606.ENSP00000383118	9606.ENSP00000246115	0	0	0	0	0	0	0.900	0.164	0.912
CDC42	GNAO1	9606.ENSP00000383118	9606.ENSP00000262494	0	0	0	0	0	0.352	0.900	0.312	0.951
CDC42	MAPK3	9606.ENSP00000383118	9606.ENSP00000263025	0	0	0	0	0.062	0.609	0	0.655	0.862
CDC42	GNA12	9606.ENSP00000383118	9606.ENSP00000275364	0	0	0	0	0.062	0.247	0.900	0.341	0.947
CDC42	GNAI2	9606.ENSP00000383118	9606.ENSP00000312999	0	0	0	0	0.249	0.352	0.900	0.167	0.954
CDC42	GNAI1	9606.ENSP00000383118	9606.ENSP00000343027	0	0	0	0	0.062	0.352	0.900	0.160	0.942
CDC42	GNAI3	9606.ENSP00000383118	9606.ENSP00000358867	0	0	0	0	0.065	0.352	0.900	0.223	0.946
CDC42	GNAZ	9606.ENSP00000383118	9606.ENSP00000478892	0	0	0	0	0	0.247	0.900	0.100	0.926
CDC42	RHOA	9606.ENSP00000383118	9606.ENSP00000400175	0	0	0.418	0.950	0.268	0.705	0.900	0.958	0.978
GNA11	S1PR4	9606.ENSP00000078429	9606.ENSP00000246115	0	0	0	0	0	0	0	0.720	0.720
GNA11	GNA13	9606.ENSP00000078429	9606.ENSP00000400717	0	0	0	0.920	0.062	0.391	0.540	0.823	0.732
GNA11	GNA15	9606.ENSP00000078429	9606.ENSP00000262958	0	0	0	0.955	0	0	0.900	0.552	0.902
GNA11	GNAZ	9606.ENSP00000078429	9606.ENSP00000478892	0	0	0	0.920	0.062	0.143	0.900	0.465	0.915
GNA11	PLCG1	9606.ENSP00000078429	9606.ENSP00000244007	0	0	0	0	0	0.118	0.900	0.297	0.932
GNA11	GNAI3	9606.ENSP00000078429	9606.ENSP00000358867	0	0	0	0.935	0.062	0.315	0.900	0.602	0.932
GNA11	GNAI1	9606.ENSP00000078429	9606.ENSP00000343027	0	0	0	0.937	0.062	0.315	0.900	0.617	0.932
GNA11	GNAO1	9606.ENSP00000078429	9606.ENSP00000262494	0	0	0	0.938	0.062	0.369	0.900	0.615	0.938
GNA11	GNAI2	9606.ENSP00000078429	9606.ENSP00000312999	0	0	0	0.936	0.062	0.385	0.900	0.634	0.939
GNA12	S1PR4	9606.ENSP00000275364	9606.ENSP00000246115	0	0	0	0	0	0.270	0.900	0.424	0.954
GNA12	GNA13	9606.ENSP00000275364	9606.ENSP00000400717	0	0	0	0.964	0	0.213	0.900	0.849	0.920
GNA12	RHOA	9606.ENSP00000275364	9606.ENSP00000400175	0	0	0	0	0.052	0.247	0.900	0.430	0.953
GNA13	S1PR4	9606.ENSP00000400717	9606.ENSP00000246115	0	0	0	0	0	0.213	0.900	0.211	0.932
GNA13	GNAO1	9606.ENSP00000400717	9606.ENSP00000262494	0	0	0	0.910	0.062	0.368	0.540	0.521	0.716
GNA13	GNAI2	9606.ENSP00000400717	9606.ENSP00000312999	0	0	0	0.901	0.062	0.363	0.540	0.592	0.718
GNA13	RHOA	9606.ENSP00000400717	9606.ENSP00000400175	0	0	0	0	0	0.247	0.900	0.500	0.959
GNA15	PLCG1	9606.ENSP00000262958	9606.ENSP00000244007	0	0	0	0	0.049	0.118	0.900	0.235	0.927
GNA15	S1PR4	9606.ENSP00000262958	9606.ENSP00000246115	0	0	0	0	0.212	0	0	0.723	0.772
GNA15	GNAO1	9606.ENSP00000262958	9606.ENSP00000262494	0	0	0	0.913	0.062	0.143	0.900	0.521	0.916
GNA15	GNAI3	9606.ENSP00000262958	9606.ENSP00000358867	0	0	0	0.913	0.062	0.143	0.900	0.389	0.915
GNA15	GNAZ	9606.ENSP00000262958	9606.ENSP00000478892	0	0	0	0.901	0.062	0.143	0.900	0.417	0.915
GNA15	GNAI1	9606.ENSP00000262958	9606.ENSP00000343027	0	0	0	0.915	0.062	0.143	0.900	0.498	0.916
GNA15	GNAI2	9606.ENSP00000262958	9606.ENSP00000312999	0	0	0	0.912	0.085	0.143	0.900	0.533	0.918
GNAI1	MAPK1	9606.ENSP00000343027	9606.ENSP00000215832	0	0	0	0	0.078	0.254	0.900	0.232	0.940
GNAI1	PLCG1	9606.ENSP00000343027	9606.ENSP00000244007	0	0	0	0	0	0.118	0.900	0.107	0.914
GNAI1	S1PR4	9606.ENSP00000343027	9606.ENSP00000246115	0	0	0	0	0	0.213	0.900	0	0.917
GNAI1	GNAO1	9606.ENSP00000343027	9606.ENSP00000262494	0	0	0	0.974	0.085	0.680	0.900	0.670	0.968
GNAI1	MAPK3	9606.ENSP00000343027	9606.ENSP00000263025	0	0	0	0	0.078	0.320	0.900	0.349	0.953
GNAI1	S1PR1	9606.ENSP00000343027	9606.ENSP00000305416	0	0	0	0	0	0.270	0.900	0.323	0.946
